id,name,email,city,age,rating,feedback,date
5, Bob Johnson ,bobjohnson@email.com,NEW YORK,61,3,Great service,2024-01-20
66,jane doe,janedoe@email.com,los angeles,34,4,okay,2024-01-05
92,ALICE WONG,alicewong@email.com,NEW YORK,53,3,Loved it!,2024-03-24
59,EVE ADAMS,eveadams@email.com,Los Angeles,22,1,Loved it!,
4,jane doe,janedoe@email.com,Los Angeles,64,2,Great service,2024-05-05
20,jane doe,janedoe@email.com,new york,61,2,Needs improvement,2024-01-02
88,ALICE WONG,alicewong@email.com,los angeles,59,5,Needs improvement,2024-04-02
83,John Smith,johnsmith@email.com,Los Angeles,59,4,Very satisfied,2024-07-17
19,John Smith,johnsmith@email.com,new york,50,excellent,Great service,2024-03-12
112,diana prince,dianaprince@email.com,los angeles,47,5,Loved it!,2024-02-27
53,ALICE WONG,alicewong@email.com,Chicago,55,3,,2024-05-05
27,John Smith,johnsmith@email.com, Chicago,64,5,Great service,2024-04-14
109,EVE ADAMS,eveadams@email.com,Los Angeles,999,5,okay,2024-04-12
55,Charlie Brown,charliebrown@email.com,new york,27,excellent,Very satisfied,2024-06-11
54,jane doe,janedoe@email.com, Chicago,999,,Great service,2024-06-26
17,jane doe,janedoe@email.com,NEW YORK,40,N/A,N/A,2024-05-06
2,diana prince,dianaprince@email.com, Chicago,63,2,Great service,2024-02-05
137,John Smith,johnsmith@email.com,chicago,60,good,Very satisfied,2024-09-10
138,EVE ADAMS,eveadams@email.com,New York,19,good,Needs improvement,2024-01-07
43,EVE ADAMS,eveadams@email.com,New York,0,excellent,,2024-08-12
25,EVE ADAMS,eveadams@email.com,Los Angeles,55,poor,okay,2024-09-25
22,John Smith,johnsmith@email.com, Chicago,33,good,Very satisfied,2024-02-19
150,EVE ADAMS,eveadams@email.com,New York,40,poor,Needs improvement,2024-04-02
83,John Smith,johnsmith@email.com,Los Angeles,59,4,Very satisfied,2024-07-17
50, Bob Johnson ,,Los Angeles,39,3,okay,2024-06-02
76,ALICE WONG,,los angeles,49,2,okay,2024-05-24
12, Bob Johnson ,bobjohnson@email.com,new york,,2,Great service,2024-01-02
125,Charlie Brown,charliebrown@email.com,los angeles,53,4,Very satisfied,2024-06-12
115,ALICE WONG,alicewong@email.com,new york,39,3,Great service,2024-08-09
131,diana prince,dianaprince@email.com,NEW YORK,18,N/A,Very satisfied,
132, Bob Johnson ,bobjohnson@email.com,chicago,999,3,Very satisfied,2024-03-04
96,ALICE WONG,alicewong@email.com,NEW YORK,30,excellent,,2024-08-05
133, Bob Johnson ,bobjohnson@email.com,Chicago,42,good,N/A,2024-04-09
7,jane doe,,new york,25,,Very satisfied,2024-07-11
73, Bob Johnson ,bobjohnson@email.com,new york,54,2,okay,2024-09-12
139,ALICE WONG,alicewong@email.com,NEW YORK,61,5,Needs improvement,2024-05-07
